# X    U     P    rho
0.964 0 404400 4.696
0.965 0 404400 4.696
0.966 0 404400 4.696
0.967 0 404400 4.696
0.968 0 404400 4.696
0.969 0 404400 4.696
0.97 0 404400 4.696
0.971 0 404400 4.696
0.972 0 404400 4.696
0.973 0 404400 4.696
0.974 0 404400 4.696
0.975 0 404400 4.696
0.976 0 404400 4.696
0.977 0 404400 4.696
0.978 0 404400 4.696
0.979 0 404400 4.696
0.98 0 404400 4.696
0.981 0 404400 4.696
0.982 0 404400 4.696
0.983 0 404400 4.696
0.984 0 404400 4.696
0.985 0 404400 4.696
0.986 0 404400 4.696
0.987 0 404400 4.696
0.988 0 404400 4.696
0.989 0 404400 4.696
0.99 0 404400 4.696
0.991 0 404400 4.696
0.992 0 404400 4.696
0.993 0 404400 4.696
0.994 0 404400 4.696
0.995 0 404400 4.696
0.996 0 404400 4.696
0.997 0 404400 4.696
0.998 0 404400 4.696
0.999 0 404400 4.696
1 0 404400 4.696
1.001 0 404400 4.696
1.002 0 404400 4.696
1.003 0 404400 4.696
1.004 0 404400 4.696
1.005 0 404400 4.696
1.006 0 404400 4.696
1.007 0 404400 4.696
1.008 0 404400 4.696
1.009 0 404400 4.696
1.01 0 404400 4.696
1.011 0 404400 4.696
1.012 0 404400 4.696
1.013 0 404400 4.696
1.014 0 404400 4.696
1.015 0 404400 4.696
1.016 0 404400 4.696
1.017 0 404400 4.696
1.018 0 404400 4.696
1.019 0 404400 4.696
1.02 0 404400 4.696
1.021 0 404400 4.696
1.022 0 404400 4.696
1.023 0 404400 4.696
1.024 0 404400 4.696
1.025 0 404400 4.696
1.026 0 404400 4.696
1.027 0 404400 4.696
1.028 0 404400 4.696
1.029 0 404400 4.696
1.03 0 404400 4.696
1.031 0 404400 4.696
1.032 0 404400 4.696
1.033 0 404400 4.696
1.034 0 404400 4.696
1.035 0 404400 4.696
1.036 0 404400 4.696
1.037 0 404400 4.696
1.038 0 404400 4.696
1.039 0 404400 4.696
1.04 0 404400 4.696
1.041 0 404400 4.696
1.042 0 404400 4.696
1.043 0 404400 4.696
1.044 0 404400 4.696
1.045 0 404400 4.696
1.046 0 404400 4.696
1.047 0 404400 4.696
1.048 0 404400 4.696
1.049 0 404400 4.696
1.05 0 404400 4.696
1.051 0 404400 4.696
1.052 0 404400 4.696
1.053 0 404400 4.696
1.054 0 404400 4.696
1.055 0 404400 4.696
1.056 0 404400 4.696
1.057 0 404400 4.696
1.058 0 404400 4.696
1.059 0 404400 4.696
1.06 0 404400 4.696
1.061 0 404400 4.696
1.062 0 404400 4.696
1.063 0 404400 4.696
